tweet_id_str,date_time,location,tweet_text
1541868971456139266,2022-06-28 19:39:43+00:00,,"We follow the UK Covid strategy (do nothing) to the letter, so have a look how that’s going. In the UK the spin has rubbed off, people are seeing the herd immunity debacle for what it is - the politics of privilege pretending to do public health. #auspol  https://t.co/9kM0yWHjtZ"
1541854236824113152,2022-06-28 18:41:10+00:00,Vancouver,"Here is the Atlas Report: Trump's plan for dealing with Covid. The fact that so many more would die from Covid was part of the plan. You still support this @SenatorCollins and @lisamurkowski?
https://t.co/ZoV5u2PzSX"
1541852413577019393,2022-06-28 18:33:56+00:00,NYC - Boston - Chicago - SF,"A new congressional report unpacks how a Trump-picked coronavirus advisor turned CDC testing guidance into a mess.
https://t.co/aOKmUPO8CH"
1541849415333433344,2022-06-28 18:22:01+00:00,"Ontario, Canada","Pride month 2022

The leaders and public health officials are blaming homosexual intercourse between two men for fueling the growing monkey pox pandemic...

Instead of the herd immunity test they were warned would destroy people's immune systems.. And organs..

We are savages.."
1541826523820335104,2022-06-28 16:51:03+00:00,,"This is going to be so interesting. Inquiry into government response to pandemic. Parties, PPE contracts, herd immunity, care homes &amp; more. Should be good. #bbcpm  #r4today https://t.co/HT1IuuQPKZ"
1541820343685451778,2022-06-28 16:26:30+00:00,,"Johnson has been dragged, kicking and screaming to this: We all know why. Herd immunity and politically motivated, death dealing, delays in lockdown. https://t.co/a1q3c2d9Cb https://t.co/IuXjT6LpFg"
1541815647411154950,2022-06-28 16:07:50+00:00,"Austin, Texas & Boston, MA","One of the reasons we might never get to the much discussed ""herd immunity"" with COVID is the role of these Superantigens. We've been thinking that it's ""like the flu"" because it's a coronavirus but COVID might behave more like rabies... https://t.co/KLoJzUDYQV"
1541812313157779456,2022-06-28 15:54:35+00:00,Frostbite Falls,"""“The ‘Atlas Dogma’: The Trump Administration’s Embrace of a Dangerous and Discredited Herd Immunity via Mass Infection Strategy,” is available in full here and reveals the following key findings:"" - @COVIDOversight #COVIDisAirborne  https://t.co/T7LfCOrLxZ"
1541811671466971142,2022-06-28 15:52:02+00:00,,Does anyone remember Covid? You should – it’s back with a vengeance - The Independent. “Johnson’s government has caused this. His herd immunity plan has caused a lot of pain and suffering”..  https://t.co/lvxy2uwwoz
1541811080892223488,2022-06-28 15:49:41+00:00,"North East, England","It's interesting hearing Schwab-shrieking lockdown sceptics complain about trans ideology. Yes, it's dishonest! But the idea that Boris didn't pursue herd immunity, that he always planned to lockdown, is also dishonest. It's a massive lie by lunatic zealots who shriek at planes."
1541795980466692096,2022-06-28 14:49:41+00:00,Texas,So Trump went with herd immunity. Maybe they citizens should have been consulted? Herd immunity didn’t work do well.     Covid task force members worried about 'misinformation' being shared with Trump https://t.co/hLd1hv3Dwu
1541782453924179968,2022-06-28 13:55:56+00:00,Briland or LA,... #BecauseScience: natural herd immunity was another prank. https://t.co/wPeILk9Fbf
1541782399813656576,2022-06-28 13:55:43+00:00,"Washington, D.C. ","Evidence obtained by @COVIDOversight shows how the Trump Admin:

— Weakened CDC #COVID19 guidance

— Embraced herd immunity via mass infection before vaccines

— Blocked scientists from speaking about the pandemic

— Neglected pandemic response to focus on the Big Lie"
1541777839124512768,2022-06-28 13:37:36+00:00,Plague Island ,"No10 dismisses damage to children that their unethical herd immunity policy has caused. Why are public not being informed that those covid reinfections are not mild and are causing chronic illness???

@Channel4News 
@guardian 
@jeremycorbyn 
@LaylaMoran 
@EnemyInAState https://t.co/Qk5ktH2Ukw"
1541772389767434244,2022-06-28 13:15:57+00:00,"Nairobi, Kenya",“Two doctors can have a different opinion on the same matter e.g. different countries took different stances on herd immunity verses pro-vaccine to address covid-19. This is because we need to acknowledge that medicine is not an exact science”. #PandemicResilience #infodemic - https://t.co/r4zYO1ijn4
1541760905805008897,2022-06-28 12:30:19+00:00,"District of Columbia, USA",Does this mean we can't vaccinate our way to herd immunity (&amp; exit a pandemic) after all? https://t.co/XqrJsdemhX
1541757656586752000,2022-06-28 12:17:24+00:00,#plagueisland☣,"Says the man who doesn't squeak about 200,000 people dying from covid &amp; from early on in the pandemic was advising the fascust Tory govt that herd immunity was the only way to deal.
Says the man whose party &amp; employers voted against measures to stop shit being pumped into water. https://t.co/NirNhxrDy5"
1541749165218471936,2022-06-28 11:43:39+00:00,,"#GreatBarringtonDeclaration 'natural herd immunity' or'#DoNothing'
Dr.Ian Wilson,a Molecular &amp; Structural Biologist.
Globally
60% of 7 billion people= 4.2 billion cases of covid.
1% of 4.2b=42million covid deaths or 
0.5% of 4.2 billion covid cases=21million covid deaths
#auspol https://t.co/0fykGQewxq"
1541735190711730177,2022-06-28 10:48:08+00:00,Devon UK,Living with COVID and herd immunity. https://t.co/99cNgHwlpI
1541725372617719809,2022-06-28 10:09:07+00:00,Europe,"#COVID19 ah yes, herd immunity https://t.co/RTjQ81Ge4w"
1541710587951988738,2022-06-28 09:10:22+00:00,"North East, England","Slater says the reason the brave heroes don't talk about herd immunity and Jan 4 is that their employers don't want them to. So, the brave heroes kept their heads down during the lockdown then pretended to be freedom fighters while being paid to cover up the truth. Brave heroes."
